id,name,phone,review_count,avg_rating,categories,longitude,latitude,address1,address2,zip,city,state
the-movable-feast-brooklyn,The Movable Feast,7189652900,8,4,Caterers,,,284 Prospect Park W,,11215,Brooklyn,NY
sals-deli-college-point,Sal's Deli,7186619498,3,4.5,"Delis, Sandwiches",,,12908 20th Ave,,11356,College Point,NY
bullys-new-york-318,Bully's,2122549755,90,3,Delis,,,759 Broadway,,10003,New York,NY
steve-chus-deli-and-grocery-astoria,Steve Chu's Deli & Grocery,7187268888,1,5,Delis,,,3406 10th St,,11106,Astoria,NY
harriets-kitchen-new-york,Harriet's Kitchen,2127210045,74,3,"American (Traditional), Burgers",,,502 Amsterdam Ave,,10024,New York,NY
white-castle-brooklyn-7,White Castle,7188578132,17,2.5,Fast Food,,,531 Myrtle Ave,,11205,Brooklyn,NY
ho-mei-corona,Ho Mei,7187796903,1,5,Restaurants,,,10305 37th Avenue,,11368,Corona,NY
downtown-deli-new-york,Downtown Deli,2122332911,14,3,Delis,,,27 Park Pl,,10007,New York,NY
carvel-bronx-3,Carvel,7186526827,2,3,Ice Cream & Frozen Yogurt,,,1006 E 233rd St,,10466,Bronx,NY
dunkin-donuts-inc-brooklyn,Dunkin Donuts Inc,7186252068,7,2,Donuts,,,56 Court St,,11201,Brooklyn,NY
mejlander-and-mulgannon-brooklyn,Mejlander & Mulgannon,7182386666,15,4,"Delis, Cupcakes",,,7615 5th Ave,,11209,Brooklyn,NY
olives-new-york-3,Olive's,2129410111,157,3.5,Sandwiches,,,120 Prince St,,10012,New York,NY
lexler-deli-new-york,Lexler Deli,2126870820,10,4,Delis,,,405 Lexington Ave,,10017,New York,NY
bagels-and-buns-staten-island,Bagels & Buns,7187611900,14,4.5,"Bagels, Bakeries, Coffee & Tea",,,2491 Victory Blvd,,10314,Staten Island,NY
p-and-c-bagels-middle-village,P & C Bagels,7183268510,28,4,Bagels,,,7905 Metropolitan Ave,,11379,Middle Village,NY
lorenzo-and-marias-kitchen-new-york,Lorenzo & Marias Kitchen,2127941080,13,2,"Food, Restaurants",,,1418 3rd Ave Frnt,,10028,New York,NY
dominos-pizza-new-york-8,Domino's Pizza,2125450200,11,2.5,"Pizza, Chicken Wings, Sandwiches",,,464 3rd Ave,,10016,New York,NY
sonnys-heros-brooklyn,Sonny's Heros,7184859810,9,5,Caterers,,,1031 E 92nd Street,,11236,Brooklyn,NY
carvel-staten-island-4,Carvel,7188167807,3,2,Ice Cream & Frozen Yogurt,,,1111 Hylan Blvd,,10305,Staten Island,NY
dominos-pizza-new-york-15,Domino's Pizza,2125010200,19,2,"Pizza, Chicken Wings, Sandwiches",,,148 W 72nd St,,10023,New York,NY
miss-mamies-spoonbread-too-new-york,Miss Mamie's Spoonbread Too,2128656744,297,3,"Southern, Barbeque",,,366 W 110th St,,10025,New York,NY
kosher-bagel-hole-brooklyn-2,Kosher Bagel Hole,7182584150,7,3.5,"Bagels, Breakfast & Brunch, Sandwiches",,,1423 Ave J,,11230,Brooklyn,NY
plaza-bagel-and-deli-corp-staten-island,Plaza Bagel & Deli Corp,7183513906,8,5,Delis,,,73 New Dorp Plz,,10306,Staten Island,NY
happy-garden-bronx-3,Happy Garden,7182955588,2,4,Chinese,,,277 E Kingsbridge Rd,,10458,Bronx,NY
b-and-m-hot-bagels-and-grocery-staten-island,B & M Hot Bagels & Grocery,7189668445,2,2.5,Grocery,,,203 Giffords Ln,,10308,Staten Island,NY
philadelphia-grille-brooklyn,Philadelphia Grille,7182380747,23,4,American (Traditional),,,10004 4th Ave,,11209,Brooklyn,NY
peter-luger-steak-house-brooklyn,Peter Luger Steak House,7183877400,2703,4,Steakhouses,,,178 Broadway,,11211,Brooklyn,NY
metropolitan-club-new-york,Metropolitan Club,2128387400,16,4,Nightlife,,,1 E 60th St,,10022,New York,NY
the-palm-new-york,The Palm,2126872953,219,3.5,"Steakhouses, Seafood",,,837 2nd Ave,,10017,New York,NY
21-club-new-york,21 Club,2125827200,333,3.5,"American (Traditional), Venues & Event Spaces, Diners",,,21 W 52nd St,,10019,New York,NY
old-town-bar-and-restaurant-new-york,Old Town Bar & Restaurant,2125296732,236,3.5,"American (Traditional), Bars",,,45 E 18th St,,10003,New York,NY
sevilla-restaurant-and-bar-new-york,Sevilla Restaurant & Bar,2129293189,210,3.5,"Spanish, Basque",,,62 Charles St,,10014,New York,NY
gottscheer-hall-ridgewood,Gottscheer Hall,7183663030,24,4.5,"Caterers, German, Pubs",,,657 Fairview Ave,,11385,Ridgewood,NY
vazacs-horseshoe-bar-new-york,Vazacs Horseshoe Bar,2126776742,125,3.5,"Arcades, Dive Bars",,,108 Ave B,Ste 1,10009,New York,NY
bens-best-rego-park-2,Bens Best,7188971700,173,4,"Delis, Kosher",,,96-40 Queens Blvd,,11374,Rego Park,NY
the-art-students-league-of-new-york-new-york,The Art Students League of New York,2122474510,17,4.5,"Art Schools, Art Galleries, Art Classes",,,215 W 57th St,,10019,New York,NY
donohues-steak-house-new-york,Donohue's Steak House,2127440938,25,4,Steakhouses,,,845 Lexington Ave,,10065,New York,NY
tout-va-bien-new-york,Tout Va Bien,2122650190,193,3.5,French,,,311 W 51st St,,10019,New York,NY
juniors-restaurant-brooklyn,Junior's Restaurant,7188525257,841,3.5,"Bakeries, American (Traditional), Desserts",,,386 Flatbush Ave Extension,,11238,Brooklyn,NY
marchis-restaurant-new-york,Marchi's Restaurant,2126792494,16,3,Italian,,,251 E 31st St,,10016,New York,NY
towne-cafe-brooklyn,Towne Cafe,7186469827,1,4,Bars,,,2602 E 15th St,,11235,Brooklyn,NY
old-homestead-steak-house-new-york,Old Homestead Steak House,2122429040,483,3.5,Steakhouses,,,56 9th Ave,,10011,New York,NY
new-park-pizzeria-howard-beach,New Park Pizzeria,7186413082,251,4,Pizza,,,15671 Crossbay Blvd,,11414,Howard Beach,NY
douglaston-club-little-neck,Douglaston Club,7182293900,2,3.5,,,,W Drive & Manor Road,,11362,Little Neck,NY
serendipity-3-new-york,Serendipity 3,2128383531,2296,3,"Desserts, American (New)",,,225 E 60th St,,10022,New York,NY
melody-lanes-brooklyn,Melody Lanes,7188322695,97,3.5,Bowling,,,461 37th St,,11232,Brooklyn,NY
rizzos-fine-pizza-astoria,Rizzo's Fine Pizza,7187219862,354,4,Pizza,,,3013 Steinway St,,11103,Astoria,NY
white-horse-tavern-new-york,White Horse Tavern,2129893956,239,2.5,"Pubs, Burgers",,,567 Hudson St,,10014,New York,NY
the-crystal-room-staten-island,The Crystal Room,7184478926,6,4.5,Caterers,,,67 Olympia Blvd,,10305,Staten Island,NY
labetti-post-staten-island,Labetti Post,7184429312,1,5,"Caterers, Venues & Event Spaces",,,390 Hylan Boulevard,,10305,Staten Island,NY
shell-lanes-brooklyn,Shell Lanes,7183366700,39,3.5,Bowling,,,1 Bouck Ct,,11223,Brooklyn,NY
forlinis-restaurant-new-york,Forlini's Restaurant,2123496779,85,4,Italian,,,93 Baxter St,,10013,New York,NY
corner-bistro-new-york,Corner Bistro,2122429502,1177,4,"Burgers, Bars",,,331 W 4th St,,10014,New York,NY
nostrand-donut-shop-brooklyn,Nostrand Donut Shop,7188263008,15,4,Bakeries,,,1449 Nostrand Ave,,11226,Brooklyn,NY
dorrians-red-hand-new-york,Dorrian's Red Hand,2127726660,123,2.5,"American (Traditional), Sports Bars, Burgers",,,1616 2nd Ave,,10021,New York,NY
la-grenouille-new-york,La Grenouille,2127521495,213,4.5,French,,,3 E 52nd St,,10022,New York,NY
como-pizza-new-york,Como Pizza,2129287867,37,4,Pizza,,,4035 Broadway,,10032,New York,NY
keats-restaurant-new-york-4,Keats Restaurant,2126825490,72,3,"American (Traditional), Karaoke, Bars",,,842 2nd Ave,,10017,New York,NY
angelos-new-york-2,Angelo's,2129661277,218,3.5,Italian,,,146 Mulberry St,,10013,New York,NY
panchitos-mexican-restaurant-and-cantina-new-york,Panchito's Mexican Restaurant & Cantina,2124735239,203,2.5,Mexican,,,105 MacDougal St,,10012,New York,NY
colandrea-new-corner-restaurant-brooklyn-2,Colandrea New Corner Restaurant,7188330800,53,3.5,"Italian, Seafood, American (Traditional)",,,7201 8th Ave,,11228,Brooklyn,NY
arturos-new-york,Arturo's,2126773820,381,4,"Pizza, Italian",,,106 W Houston St,,10012,New York,NY
le-perigord-new-york,Le Perigord,2127556244,104,3,French,,,405 E 52nd St,,10022,New York,NY
reynolds-cafe-new-york,Reynolds Cafe,2129238927,12,4,Bars,,,4241 Broadway,,10033,New York,NY
spain-restaurant-new-york,Spain Restaurant,2129299580,113,3.5,Spanish,,,113 W 13th St,,10011,New York,NY
palace-cafe-brooklyn,Palace Cafe,7183839848,35,4,Bars,,,206 Nassau Ave,,11222,Brooklyn,NY
yankee-tavern-bronx,Yankee Tavern,7182926130,53,3.5,"Sports Bars, Pubs",,,72 E 161st St,,10451,Bronx,NY
the-donut-pub-new-york,The Donut Pub,2129290126,299,4,"Bakeries, Donuts",,,203 W 14th St,,10011,New York,NY
morans-chelsea-new-york,Moran's Chelsea,2126273030,86,3.5,"American (New), American (Traditional)",,,146 10th Ave,,10011,New York,NY
reben-luncheonette-brooklyn,Reben Luncheonette,7183887696,13,4.5,Latin American,,,229 Havemeyer St,,11211,Brooklyn,NY
king-yum-fresh-meadows,King Yum,7183801918,69,3.5,"Chinese, American (Traditional)",,,18108 Union Tpke,,11366,Fresh Meadows,NY
jahns-jackson-heights,Jahn's,7186510700,81,3.5,Diners,,,81-04 37th Ave,,11372,Jackson Heights,NY
j-and-v-pizzeria-brooklyn,J & V Pizzeria,7182322700,98,4,Pizza,,,6322 18th Ave,,11204,Brooklyn,NY
joe-allen-new-york,Joe Allen,2125816464,171,4,American (Traditional),,,326 W 46th St,,10036,New York,NY
il-vagabondo-new-york,Il Vagabondo,2128329221,145,3.5,Italian,,,351 E 62nd St,,10021,New York,NY
barbetta-new-york,Barbetta,2122469171,77,3,"Italian, American (New)",,,321 W 46th St,,10036,New York,NY
gargiulos-brooklyn,Gargiulo's Restaurant,7182664891,66,4,Italian,,,2911 West 15th Street,,11224,Brooklyn,NY
patsys-italian-restaurant-new-york,Patsy's Italian Restaurant,2122473491,210,3.5,Italian,,,236 W 56th St,,10019,New York,NY
park-side-restaurant-corona-2,Park Side Restaurant,7182719871,247,4,Italian,,,107-01 Corona Ave,,11368,Corona,NY
nearys-new-york,Neary's,2127511434,22,3.5,"American (New), Pubs",,,358 E 57th St,,10022,New York,NY
ny-pizza-suprema-new-york,NY Pizza Suprema,2125948939,592,4,Pizza,,,413 8th Ave,,10001,New York,NY
mcdwyers-pub-bronx,McDwyer's Pub,3474270519,1,1,Nightlife,,,331 E 204th Street,,10467,Bronx,NY
mee-sum-new-york,Mee Sum,2123495260,7,3,Chinese,,,26 Pell St,,10013,New York,NY
nancys-restaurant-floral-park,Nancy's Restaurant,7183434616,17,4,American (New),,,25541 Jericho Tpke,,11001,Floral Park,NY
hop-kee-new-york,Hop Kee,2129648365,471,3.5,Chinese,,,21 Mott St,,10013,New York,NY
nancy-whiskey-pub-new-york,Nancy Whiskey Pub,2122269943,119,3.5,Dive Bars,,,1 Lispenard St,,10013,New York,NY
margherita-pizza-jamaica,Margherita Pizza,7186575780,84,4.5,Pizza,,,16304 Jamaica Ave,,11432,Jamaica,NY
healys-bar-and-grill-rockaway-park,Healy's Bar & Grill,7184749600,5,3.5,Pubs,,,10807 Rockaway Beach Dr,,11694,Rockaway Park,NY
fifth-avenue-bingo-hall-brooklyn,Fifth Avenue Bingo Hall,7187881691,2,4.5,Social Clubs,,,416 5th Ave,,11215,Brooklyn,NY
deninos-pizzeria-tavern-staten-island,Denino's Pizzeria Tavern,7184429401,259,4,Pizza,,,524 Port Richmond Ave,,10302,Staten Island,NY
michaels-of-brooklyn-brooklyn,Michael's Of Brooklyn,7189987851,69,4,Italian,,,2929 Avenue R,,11230,Brooklyn,NY
nannis-restaurant-new-york-2,Nanni's Restaurant,2126974161,49,3.5,Italian,,,146 E 46th St,,10017,New York,NY
lenihans-jamaica,Lenihan's,7188469770,4,3,Bars,,,11909 Atlantic Avenue,,11418,Jamaica,NY
killarney-rose-new-york,Killarney Rose,2124221486,85,3.5,Pubs,,,127 Pearl St,,10005,New York,NY
don-peppe-ozone-park,Don Peppe,7188457587,220,4.5,Italian,,,13558 Lefferts Blvd,,11420,Ozone Park,NY
3-star-restaurant-brooklyn,3 Star Restaurant,7183364195,36,3,"Diners, American (Traditional)",,,1611 Ave U,,11229,Brooklyn,NY
the-blarney-rock-pub-new-york,The Blarney Rock Pub,2129470825,99,3.5,"Irish, Pubs",,,137 W 33rd St,,10001,New York,NY
dangerfields-new-york,Dangerfield's,2125931650,113,3.5,Comedy Clubs,,,1118 1st Ave,,10021,New York,NY
desmonds-tavern-new-york,Desmonds Tavern,2126849472,83,3,Pubs,,,433 Park Ave S,,10016,New York,NY
naomis-kosher-pizza-and-israel-falafel-flushing,Naomi's Kosher Pizza & Israel Falafel,7185208754,45,4,Falafel,,,6828 Main St,,11367,Flushing,NY
roll-n-roaster-brooklyn,Roll-N-Roaster,7187696000,412,4,"American (Traditional), Sandwiches",,,2901 Emmons Ave,,11235,Brooklyn,NY
tio-pepe-new-york,Tio Pepe,2122429338,180,3,"Mexican, Spanish",,,168 W 4th St,,10014,New York,NY
brennan-and-carr-brooklyn-2,Brennan & Carr,7187691254,350,4,Sandwiches,,,3432 Nostrand Ave,,11229,Brooklyn,NY
the-punch-bowl-bronx,The Punch Bowl,7188847322,10,4,Dive Bars,,,5820 Broadway,,10463,Bronx,NY
jardin-de-china-corona,Jardin De China,7184763755,94,4,"Chinese, Latin American",,,3737 Junction Blvd,,11368,Corona,NY
blarney-stone-restaurants-new-york,Blarney Stone Restaurants,2122694988,19,2.5,"American (Traditional), Dive Bars",,,11 Trinity Pl,,10006,New York,NY
shimons-kosher-pizza-flushing,Shimon's Kosher Pizza,7187931491,8,3.5,Pizza,,,7124 Main Street,,11367,Flushing,NY
riviera-cafe-and-sports-bar-new-york,Riviera Cafe & Sports Bar,2129293250,175,2.5,Sports Bars,,,225 W 4th St,,10014,New York,NY
fascati-pizza-brooklyn,Fascati Pizza,7182371278,163,3.5,Pizza,,,80 Henry St,,11201,Brooklyn,NY
baby-bos-cantina-new-york,Baby Bo's Cantina,2127792656,353,3.5,Mexican,,,627 2nd Ave,,10016,New York,NY
li-grecis-staaten-staten-island,Li Greci's Staaten,7184486000,20,4,"American (New), Caterers",,,697 Forest Ave,,10310,Staten Island,NY
shun-lee-palace-new-york,Shun Lee Palace,2123718844,132,3.5,Chinese,,,155 E 55th St,,10022,New York,NY
tamaqua-bar-and-marina-brooklyn,Tamaqua Bar & Marina,7186469212,1,4,"Bars, Seafood",,,84 Ebony Ct,,11229,Brooklyn,NY
munch-time-diner-bronx,Munch Time Diner,7189927347,5,3,Diners,,,21 E 170th St,,10452,Bronx,NY
burger-heaven-new-york,Burger Heaven,2127520340,120,3,Burgers,,,9 E 53rd St,,10022,New York,NY
cara-mia-restaurant-queens-village-2,Cara Mia Restaurant,7187409118,68,4,Italian,,,220-20 Hillside Ave,,11427,Queens Village,NY
ihop-bronx-4,IHOP,7183256664,15,2.5,Breakfast & Brunch,,,4340 Boston Post Rd,,10475,Bronx,NY
la-fusta-restaurant-elmhurst-2,La Fusta Restaurant,7184298222,127,4,Argentine,,,8032 Baxter Ave,,11373,Elmhurst,NY
richmond-county-country-club-staten-island,Richmond County Country Club,7183510600,3,4,Golf,,,135 Flagg Pl,,10304,Staten Island,NY
little-brown-jug-queens,Little Brown Jug,7188469609,1,3,Bars,,,124-02 Jamaica Avenue,,11418,Queens,NY
mitchells-soul-food-brooklyn,Mitchell's Soul Food,7187893212,105,3.5,"Southern, Soul Food",,,617A Vanderbilt Ave,,11238,Brooklyn,NY
el-charro-espanol-new-york,El Charro Espanol,2122429547,47,4,Spanish,,,4 Charles St,,10014,New York,NY
finnegans-wake-new-york,Finnegan's Wake,2127373664,53,3.5,"Pubs, American (New)",,,1361 1st Ave,,10021,New York,NY
davinci-pizzeria-brooklyn-2,DaVinci Pizzeria,7182325855,31,3.5,Pizza,,,6514 18th Ave,,11204,Brooklyn,NY
mexico-lindo-restaurant-new-york,Mexico Lindo Restaurant,2126793665,142,3.5,Mexican,,,459 2nd Ave,,10010,New York,NY
marina-del-rey-caterers-throgs-neck,Marina del Rey Caterers,7189316500,21,4.5,"Venues & Event Spaces, Caterers",,,1 Marina Dr,,10465,Throgs Neck,NY
floridian-diner-brooklyn,Floridian Diner,7183771895,65,2.5,Diners,,,2301 Flatbush Ave,,11234,Brooklyn,NY
twins-public-house-new-york,Twins Public House,2126431688,1,4,American (Traditional),,,421 9th Ave,,10001,New York,NY
narrows-coffee-shop-brooklyn,Narrows Coffee Shop,7188339281,18,3.5,"Diners, Coffee & Tea",,,10001 4th Avenue,,11209,Brooklyn,NY
broome-street-bar-new-york-2,Broome Street Bar,2129252086,139,3.5,"Bars, American (Traditional)",,,363 W Broadway,,10013,New York,NY
o-hanlons-bar-astoria,O'Hanlon's Bar,7187289619,18,4,Pubs,,,2257 31st St,,11105,Astoria,NY
charlies-sports-bar-woodside,Charlies Sports Bar,7184781903,3,4.5,"Pubs, Sports Bars",,,4408 60th St,,11377,Woodside,NY
jg-melon-new-york,JG Melon,2127440585,667,3.5,"Burgers, American (Traditional)",,,1291 3rd Ave,,10021,New York,NY
jacks-pizzeria-bayside,Jack's Pizzeria,7184235484,34,3.5,Pizza,,,21249 26th Ave,,11360,Bayside,NY
emerald-pub-new-york,Emerald Pub,2122268512,56,3.5,"Restaurants, Pubs, Lounges, Breweries",,,308 Spring St,,10013,New York,NY
the-flame-diner-new-york,The Flame Diner,2127657962,120,3,"Diners, American (Traditional), Coffee & Tea",,,893 9th Ave,,10019,New York,NY
jackson-hole-new-york-3,Jackson Hole,2123717187,151,3.5,American (Traditional),,,232 E 64th St,,10021,New York,NY
zum-stammtisch-glendale,Zum Stammtisch,7183863014,199,4,German,,,6946 Myrtle Ave,,11385,Glendale,NY
johns-of-12th-street-new-york-2,John's of 12th Street,2124759531,310,3.5,Italian,,,302 E 12th St,,10003,New York,NY
mr-broadway-new-york,Mr. Broadway,2129212152,83,2.5,"Kosher, Delis",,,1372 Broadway,,10018,New York,NY
piccola-venezia-restaurant-astoria,Piccola Venezia Restaurant,7187218470,115,4,Italian,,,4201 28th Ave,,11103,Astoria,NY
malaga-new-york,Malaga,2127377659,64,3,"Tapas Bars, Spanish",,,406 E 73rd St,,10021,New York,NY
ninis-cafe-and-p-ks-lounge-staten-island,Nini's Cafe & P K's Lounge,7183519024,4,4.5,"Italian, Bars",,,710 New Dorp Ln,,10306,Staten Island,NY
capitol-restaurant-manhattan-2,Capitol Restaurant,2129425090,20,3,Diners,,,4933 Broadway,,10034,Manhattan,NY
la-bonne-soupe-new-york,La Bonne Soupe,2125867650,442,3.5,"French, American (New)",,,48 W 55th St,,10019,New York,NY
mimis-restaurant-and-piano-bar-new-york,Mimi's Restaurant and Piano Bar,2126884692,108,3,"American (Traditional), Bars, Italian",,,984 2nd Ave,,10022,New York,NY
lennys-clam-bar-howard-beach,Lenny's Clam Bar,7188455100,167,3.5,"Seafood, Italian",,,16103 Crossbay Blvd,,11414,Howard Beach,NY
new-york-presbyterian-hospital-new-york-weill-cornell-medical-ce-new-york-22,New York Presbyterian Hospital-New York Weill Cornell Medical Ce,2127466100,1,1,Hospitals,,,521 E 68th St,,10065,New York,NY
grays-papaya-new-york,Gray's Papaya,2127990243,905,4,Hot Dogs,,,2090 Broadway,,10023,New York,NY
danis-house-of-pizza-kew-gardens,Dani's House of Pizza,7188462849,365,4,"Pizza, Italian",,,81-28 Lefferts Blvd,,11415,Kew Gardens,NY
el-greco-diner-brooklyn,El Greco Diner,7189341288,135,2.5,Diners,,,1821 Emmons Ave,,11235,Brooklyn,NY
mcdonalds-ozone-park,McDonald's,7188451010,2,1.5,"Burgers, Fast Food",,,7550 101st Ave,,11416,Ozone Park,NY
cafe-fiorello-new-york,Cafe Fiorello,2125955330,367,3.5,"Italian, American (Traditional)",,,1900 Broadway,,10023,New York,NY
l-and-b-spumoni-gardens-brooklyn,L & B Spumoni Gardens,7184491230,1705,4,"Pizza, Italian",,,2725 86th St,,11223,Brooklyn,NY
amore-pizzeria-flushing,Amore Pizzeria,7184450579,162,4,Pizza,,,3027 Stratton St,,11354,Flushing,NY
the-road-house-staten-island,The Road House,7184470033,19,3,"Pizza, Italian",,,1400 Clove Rd,,10301,Staten Island,NY
elephant-and-castle-new-york,Elephant & Castle,2122431400,379,3.5,"American (New), Breakfast & Brunch",,,68 Greenwich Ave,,10011,New York,NY
mill-basin-kosher-delicatessen-brooklyn,Mill Basin Kosher Delicatessen,7182414910,80,4,"Delis, Kosher",,,5823 Ave T,,11234,Brooklyn,NY
grand-central-oyster-bar-new-york,Grand Central Oyster Bar,2124906650,827,3.5,Seafood,,,Grand Central Station,89 E 42nd St,10017,New York,NY
cherry-tavern-new-york,Cherry Tavern,2127771448,90,4,Dive Bars,,,441 E 6th St,,10009,New York,NY
colonnade-diner-staten-island,Colonnade Diner,7183512900,40,3,"Diners, Breakfast & Brunch",,,2001 Hylan Blvd,,10306,Staten Island,NY
the-red-flame-new-york-2,The Red Flame,2128693965,272,3.5,Diners,,,67 W 44th St,,10036,New York,NY
maggies-place-new-york,Maggie's Place,2127535757,57,3,"Pubs, American (New)",,,21 E 47th St,,10017,New York,NY
bradys-bar-new-york,Brady's Bar,2128616070,36,3.5,Bars,,,1583 2nd Ave,,10028,New York,NY
da-silvano-new-york,Da Silvano,2129822343,198,3.5,Italian,,,260 6th Ave,,10014,New York,NY
benjamin-restaurant-and-bar-new-york,Benjamin Restaurant & Bar,2128890750,113,3,"American (Traditional), Pizza, Bars",,,603 2nd Ave,,10016,New York,NY
jimmys-corner-new-york,Jimmy's Corner,2122219510,285,4,"Pubs, Sports Bars, Dive Bars",,,140 W 44th St,,10036,New York,NY
frost-restaurant-brooklyn,Frost Restaurant,7183893347,72,4,Italian,,,193 Frost St,,11211,Brooklyn,NY
sammys-roumanian-steakhouse-new-york,Sammy's Roumanian Steakhouse,2126730330,210,4,Steakhouses,,,157 Chrystie St,,10002,New York,NY
il-cortile-new-york,Il Cortile,2122266060,247,3.5,Italian,,,125 Mulberry St,,10013,New York,NY
maries-crisis-new-york,Marie's Crisis,2122439323,199,4,"Gay Bars, Music Venues",,,59 Grove St,,10014,New York,NY
boots-and-saddle-new-york,Boots & Saddle,2126331986,50,3,Gay Bars,,,76 Christopher St,,10014,New York,NY
parkway-restaurant-brooklyn,Parkway Restaurant,7187454371,16,3,"Diners, Coffee & Tea, Sandwiches",,,7504 13th Ave,,11228,Brooklyn,NY
cafe-riazor-new-york,Cafe Riazor,2127272132,60,4,"Spanish, Tapas Bars",,,245 W 16th St,,10011,New York,NY
raouls-restaurant-new-york,Raoul's Restaurant,2129663518,238,4,French,,,180 Prince St,,10012,New York,NY
marbella-restaurant-bayside,Marbella Restaurant,7184230100,33,3.5,"Spanish, Basque",,,22033 Northern Blvd,,11361,Bayside,NY
hatsuhana-sushi-restaurant-new-york,Hatsuhana Sushi Restaurant,2123553345,607,4,"Japanese, Sushi Bars",,,17 E 48th St,,10017,New York,NY
la-mangeoire-new-york,La Mangeoire,2127597086,139,3.5,French,,,1008 2nd Ave,,10022,New York,NY
valentinos-pizzeria-and-restaurant-flushing,Valentino's Pizzeria & Restaurant,7185916464,86,4,"Pizza, Italian",,,71-47 Kissena Blvd,,11367,Flushing,NY
viand-coffee-shop-new-york,Viand Coffee Shop,2127516622,83,3.5,Coffee & Tea,,,673 Madison Ave,,10021,New York,NY
palm-restaurant-too-new-york,Palm Restaurant Too,2126975198,103,3.5,"Steakhouses, Seafood",,,840 Second Ave,,10017,New York,NY
steves-coffee-shop-flushing,Steve's Coffee Shop,7184456691,18,4,"Diners, Coffee & Tea",,,4034 162nd St,,11358,Flushing,NY
blue-bay-restaurant-bronx,Blue Bay Restaurant,7188846476,29,2.5,"Diners, American (Traditional)",,,3533 Johnson Ave,,10463,Bronx,NY
nada-sushi-new-york,Nada Sushi,2128382537,65,3,Sushi Bars,,,135 E 50th St,,10022,New York,NY
pergola-des-artistes-new-york,Pergola Des Artistes,2123027500,58,3.5,French,,,252 W 46th St,,10036,New York,NY
jodys-club-forest-staten-island-2,Jody's Club Forest,7187276338,1,5,American (Traditional),,,372 Forest Ave,,10301,Staten Island,NY
reifs-tavern-new-york,Reif's Tavern,2124260519,34,4,"Pubs, Sports Bars",,,302 E 92nd St Frnt,,10128,New York,NY
whitestone-lanes-inc-flushing,Whitestone Lanes Inc,7183536300,50,2.5,Bowling,,,3005 Whitestone Expy,,11354,Flushing,NY
johns-pizzeria-elmhurst,John's Pizzeria,7184577561,35,3.5,Pizza,,,85-02 Grand Ave,,11373,Elmhurst,NY
seashore-restaurant-and-marina-bronx,Seashore Restaurant & Marina,7188850300,108,3,Seafood,,,591 City Island Ave,,10464,Bronx,NY
whitehorse-tavern-new-york,Whitehorse Tavern,2126689046,99,4,"Pubs, Burgers",,,25 Bridge St,,10004,New York,NY
caffe-reggio-new-york,Caffe Reggio,2124759557,344,3.5,"Italian, Cafes",,,119 MacDougal St,,10012,New York,NY
un-deux-trois-restaurant-new-york,Un Deux Trois Restaurant,2123544148,2,2,Restaurants,,,123 W 44th St Frnt,,10036,New York,NY
armandos-pizza-brooklyn,Armandos Pizza,7186428253,18,4,Pizza,,,1366 Pennsylvania Ave,,11239,Brooklyn,NY
