CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE
40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203,GIFFORDS LANE,10308,7189668445
40364304,TEXAS ROTISSERIE,MANHATTAN,94,FULTON STREET,10038,2125666666
40364305,PHILADELHIA GRILLE EXPRESS,BROOKLYN,10004,4 AVENUE,11209,7182380747
40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178,BROADWAY,11211,7183877400
40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,2128387400
40364355,PALM RESTAURANT,MANHATTAN,837,2 AVENUE,10017,2126872953
40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,2125827200
40364363,MANHEM CLUB,BRONX,658,CLARENCE AVE,10465,7188228965
40364373,ISLE OF CAPRI RESTURANT,MANHATTAN,1028,3 AVENUE,10065,2127581902
40364389,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003,2125296732
40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222,7183875252
40364439,SEVILLE RESTAURANT,MANHATTAN,62,CHARLES STREET,10014,2129293189
40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET,10013,2129621037
40364449,GOTTSCHEER HALL,QUEENS,657,FAIRVIEW AVENUE,11385,7183663030
40364467,NYAC MAIN DINING ROOM,MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677000
40364518,7B BAR,MANHATTAN,108,AVENUE B,10009,2126776742
40364529,BEN-BEST DELI & RESTAURANT,QUEENS,96-40,QUEENS BOULEVARD,11374,7188971700
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,215,WEST 57 STREET,10019,2122474510
40364572,DONOHUE'S STEAK HOUSE,MANHATTAN,845,LEXINGTON AVENUE,10065,2127440938
40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2122650190
40364581,JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,7188525257
40364610,GREAT KILLS YACHT CLUB,STATEN ISLAND,37,MANSION AVE,10308,7189489615
40364668,MARCHIS RESTAURANT,MANHATTAN,251,EAST   31 STREET,10016,2126792494
40364681,TOWNE CAFE,BROOKLYN,2602,EAST   15 STREET,11235,7186469827
40364691,DINING ROOM,MANHATTAN,.1-A,EAST 77 ST,10021,2127341468
40364715,OLD HOMESTEAD,MANHATTAN,56,9 AVENUE,10011,2122429040
40364744,NEW PARK PIZZERIA & RESTAURANT,QUEENS,156-71,CROSSBAY BOULEVARD,11414,7186413082
40364858,DOUGLASTON CLUB,QUEENS,600,WEST DRIVE,11363,7182293900
40364863,SERENDIPITY 3,MANHATTAN,225,EAST   60 STREET,10022,2128383531
40364889,MELODY LANES,BROOKLYN,461,37 STREET,11232,7188322695
40364920,RIZZO'S FINE PIZZA,QUEENS,30-13,STEINWAY STREET,11103,7187219862
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE,10462,7188229004
40364958,WHITE HORSE TAVERN,MANHATTAN,567,HUDSON STREET,10014,2129893956
40365013,CRYSTAL ROOM,STATEN ISLAND,67,OLYMPIA BOULEVARD,10305,7184478926
40365022,LABETTI'S POST # 2159,STATEN ISLAND,390,HYLAN BOULEVARD,10305,7184429312
40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223,7183366700
40365075,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,15,EAST    7 STREET,10003,2122542570
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013,2123496779
40365120,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,6736,HYLAN BOULEVARD,10309,7182274285
40365166,CORNER BISTRO,MANHATTAN,331,WEST    4 STREET,10014,2122429502
40365226,NOSTRAND DONUT SHOP,BROOKLYN,1449,NOSTRAND AVENUE,11226,7188263008
40365239,DORRIAN'S RED HAND RESTAURANT,MANHATTAN,1616,2 AVENUE,10028,2127726660
40365264,LA GRENOUILLE,MANHATTAN,3,EAST   52 STREET,10022,2127521495
40365280,COMO PIZZA,MANHATTAN,4035,BROADWAY,10032,2129287867
40365288,KEATS RESTAURANT,MANHATTAN,842,2 AVENUE,10017,2126825490
40365293,ANGELO OF MULBERRY ST.,MANHATTAN,146,MULBERRY STREET,10013,2129661277
40365348,PANCHITO'S,MANHATTAN,103,MACDOUGAL STREET,10012,2124735239
40365355,NEW CORNER,BROOKLYN,7201,8 AVENUE,11228,7188330800
40365361,Princeton Club,MANHATTAN,15,WEST   43 STREET,10036,2125961272
40365387,ARTURO'S,MANHATTAN,106,WEST HOUSTON STREET,10012,2126773820
40365414,LE PERIGORD,MANHATTAN,405,EAST   52 STREET,10022,2127556244
40365423,REYNOLD'S BAR,MANHATTAN,4241,BROADWAY,10033,2129238927
40365454,JOE & PAT'S PIZZERIA,STATEN ISLAND,1758,VICTORY BOULEVARD,10314,7189810887
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011,2129299580
40365473,PALACE CAFE,BROOKLYN,206,NASSAU AVENUE,11222,7183839848
40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,7182926130
40365525,DONUT PUB,MANHATTAN,203,WEST   14 STREET,10011,2129290126
40365526,MORAN'S CHELSEA,MANHATTAN,146,10 AVENUE,10011,2126273030
40365546,REBEN LUNCHEONETTE,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696
40365577,V & T RESTAURANT,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2126668051
40365592,KING YUM RESTAURANT,QUEENS,181-08,UNION TURNPIKE,11366,7183801918
40365627,JAHN'S RESTAURANT,QUEENS,8104,37 AVENUE,11372,7186510700
40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE,11204,7182322700
40365633,LA PARISIENNE DINER,MANHATTAN,910,SEVENTH AVENUE,10019,2127654590
40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST 46 STREET,10036,2125816464
40365692,JOYCE'S TAVERN,STATEN ISLAND,3823,RICHMOND AVENUE,10312,7189849699
40365709,IL VAGABONDO RESTAURANT,MANHATTAN,351,EAST   62 STREET,10065,2128329221
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,10036,2122469171
40365784,GARGIULO'S RESTAURANT,BROOKLYN,2911,WEST   15 STREET,11224,7182664891
40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,236,WEST   56 STREET,10019,2122473491
40365841,PARKSIDE RESTAURANT,QUEENS,10701,CORONA AVENUE,11368,7182719871
40365844,LAVELLE'S ADMIRAL'S CLUB,QUEENS,45-15,BROADWAY,11103,7187212764
40365871,NEARY'S PUB,MANHATTAN,358,EAST 57 STREET,10022,2127511434
40365882,NEW YORK PIZZA SUPREMA,MANHATTAN,413,8 AVENUE,10001,2125948939
40365893,MCDWYERS PUB,BRONX,331,EAST  204 STREET,10467,3474270519
40365904,MEE SUM COFFEE SHOP,MANHATTAN,26,PELL STREET,10013,2123495260
40365938,NANCY'S FIRE SIDE,QUEENS,25541,JAMAICA AVENUE,11001,7183434616
40365942,HOP KEE RESTAURANT,MANHATTAN,21,MOTT STREET,10013,2129648365
40365968,NANCY WHISKEY PUB,MANHATTAN,1,LISPENARD STREET,10013,2122269943
40365972,BLARNEY BAR,QUEENS,146-09,JAMAICA AVENUE,11435,7186583406
40366002,MARGHERITA PIZZA,QUEENS,16304,JAMAICA AVENUE,11432,7186575780
40366054,HEALY'S PUB,QUEENS,10807,ROCKAWAY BEACH BOULEVARD,11694,7184749600
40366109,FIFTH AVENUE BINGO,BROOKLYN,416,5 AVENUE,11215,7187881691
40366132,DENINO'S PIZZERIA TAVERN,STATEN ISLAND,524,PORT RICHMOND AVENUE,10302,7184429401
40366154,MICHAEL'S RESTAURANT,BROOKLYN,2929,AVENUE R,11229,7189987851
40366157,NANNI RESTAURANT,MANHATTAN,146,EAST   46 STREET,10017,2126974161
40366162,LENIHAN'S SALOON,QUEENS,119-09,ATLANTIC AVENUE,11418,7188469770
40366214,EMILIO III BAR,QUEENS,4218,JUNCTION BOULEVARD,11368,9176340800
40366222,KILLARNEY ROSE,MANHATTAN,80,BEAVER STREET,10005,2124221486
40366230,DON PEPPE,QUEENS,13558,LEFFERTS BOULEVARD,11420,7188457587
40366356,BLARNEY CASTLE,QUEENS,202-24,ROCKAWAY POINT BOULEVARD,11697,7186344503
40366361,THREE STAR RESTAURANT,BROOKLYN,1611,AVENUE U,11229,7183364195
40366379,BLARNEY ROCK,MANHATTAN,137,WEST   33 STREET,10001,2129470825
40366381,DANGERFIELD'S NIGHT CLUB,MANHATTAN,1118,1 AVENUE,10065,2125931650
40366396,DESMOND'S TAVERN,MANHATTAN,433,PARK AVENUE SOUTH,10016,2126849472
40366425,NAOMI KOSHER PIZZA,QUEENS,6828,MAIN STREET,11367,7185208754
40366471,ROLL-N-ROASTER,BROOKLYN,2901,EMMONS AVENUE,11235,7187696000
40366473,TIO PEPE,MANHATTAN,168,WEST    4 STREET,10014,2122429338
40366487,BRENNAN & CARR,BROOKLYN,3432,NOSTRAND AVENUE,11229,7187691254
40366497,THE PUNCH BOWL,BRONX,5820,BROADWAY,10463,7188847322
40366543,JARDIN DE CHINA REST,QUEENS,37-37,JUNCTION BOULEVARD,11368,7184763755
40366549,IRISH COTTAGE,QUEENS,108-07,72 AVENUE,11375,7185208530
40366574,BLARNEY STONE,MANHATTAN,11,TRINITY PLACE,10006,2122694988
40366586,SHIMONS KOSHER PIZZA,QUEENS,71-24,MAIN STREET,11367,7187931491
40366643,THE RIVIERA CAFE,MANHATTAN,225,WEST    4 STREET,10014,2129293250
40366652,FASCATI'S PIZZERIA,BROOKLYN,80,HENRY STREET,11201,7182371278
40366661,BABY BO'S BURRITOS,MANHATTAN,627,2 AVENUE,10016,2127792656
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE,10310,7184486000
40366716,SHUN LEE PALACE RESTAURANT,MANHATTAN,155,EAST   55 STREET,10022,2123718844
40366742,TAMAQUA,BROOKLYN,84,EBONY COURT,11229,7186469212
40366748,MUNCHTIME,BRONX,21,EAST  170 STREET,10452,7189927347
40366773,BURGER HEAVEN,MANHATTAN,9,EAST 53 STREET,10022,2127520340
40366812,CARA MIA,QUEENS,220-20,HILLSIDE AVENUE,11427,7187409118
40366833,IHOP,BRONX,4340,BOSTON ROAD,10475,7183256664
40366857,MALONEY'S BAR,QUEENS,8769,SUTPHIN BOULEVARD,11435,3472334472
40366879,LA FUSTA RESTAURANT,QUEENS,80-32,BAXTER AVENUE,11373,7184298222
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304,7183510600
40366929,LITTLE BROWN JUG,QUEENS,12402,JAMAICA AVENUE,11418,7188469609
40366938,LULU'S COFFEE SHOP,BRONX,1191,CASTLE HILL AVENUE,10462,7188223568
40366961,MITCHELL'S RESTAURANT,BROOKLYN,617,VANDERBILT AVENUE,11238,7187893212
40366987,EL CHARRO ESPANOL,MANHATTAN,4,CHARLES STREET,10014,2122429547
40366993,FINNEGAN'S WAKE,MANHATTAN,1361,FIRST AVENUE,10021,2127373664
40367005,DA VINCI PIZZA,BROOKLYN,6514,18 AVENUE,11204,7182325855
40367038,MEXICO LINDO RESTAURANT,MANHATTAN,459,2 AVENUE,10010,2126793665
40367161,MARINA DELRAY,BRONX,2894,SCHURZ AVE,10465,7189316500
40367164,NEW FLORIDIAN DINER,BROOKLYN,2301,FLATBUSH AVENUE,11234,7183771895
40367179,TWINS PUB,MANHATTAN,421,9 AVENUE,10001,2126431688
40367183,NARROWS COFFEE SHOP,BROOKLYN,10001,4 AVENUE,11209,7188339281
40367189,BROOME STREET BAR,MANHATTAN,363,WEST BROADWAY,10013,2129252086
40367232,O'HANLON'S PUB,QUEENS,22-57,31 STREET,11105,7187289619
40367240,CHARLIES SPORTS BAR,QUEENS,4408,60TH ST. - STORE,11377,7184781903
40367241,JG MELON RESTAURANT,MANHATTAN,1291,3 AVENUE,10021,2127440585
40367278,JACK'S PIZZA & PASTA,QUEENS,21249,26 AVENUE,11360,7184235484
40367329,EMERALD PUB,MANHATTAN,308,SPRING STREET,10013,2122268512
40367338,TAP ROOM,MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677085
40367339,COCKTAIL ROOM (NYAC),MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677000
40367365,FLAME RESTAURANT COFFEE HOUSE,MANHATTAN,893,9 AVENUE,10019,2127657962
40367373,JACKSON HOLE,MANHATTAN,232,EAST   64 STREET,10065,2123717187
40367377,ZUM STAMMTISCH,QUEENS,6946,MYRTLE AVENUE,11385,7183863014
40367407,JOHN'S RESTAURANT,MANHATTAN,302,EAST 12 STREET,10003,2124759531
40367420,GRASSROOT TAVERN,MANHATTAN,20,ST MARKS PLACE,10003,2122602876
40367442,BUDDY'S WONDER BAR,STATEN ISLAND,17,HARRISON AVENUE,10302,7184429768
40367481,THE ASSEMBLY BAR,QUEENS,7302,COOPER AVENUE,11385,7188219359
40367534,MR BROADWAY KOSHER RESTAURANT,MANHATTAN,1372,BROADWAY,10018,2129212152
40367540,PICCOLA VENEZIA,QUEENS,42-01,28 AVENUE,11103,7187218470
40367544,MALAGA RESTAURANT,MANHATTAN,406,EAST 73 STREET,10021,2127377659
40367570,NI-NI'S CAFE,STATEN ISLAND,710,NEW DORP LANE,10306,7183519024
40367677,CAPITOL RESTAURANT,MANHATTAN,4933,BROADWAY,10034,2129425090
40367715,LA BONNE SOUPE BISTRO,MANHATTAN,48,WEST   55 STREET,10019,2125867650
40367728,MIMIS RESTAURANT & BAR,MANHATTAN,984,SECOND AVENUE,10022,2126884692
40367749,LENNY'S CLAM BAR,QUEENS,16103,CROSSBAY BOULEVARD,11414,7188455100
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065,2127466100
40367766,GRAY'S PAPAYA,MANHATTAN,2080,BROADWAY,10023,2127990243
40367789,DANI PIZZA AND RESTAURANT,QUEENS,81-28,LEFFERTS BOULEVARD,11415,7188462849
40367790,MCDONALD'S,BROOKLYN,943,FLATBUSH AVENUE,11226,7186935353
40367795,EL GRECO DINER,BROOKLYN,1821,EMMONS AVENUE,11235,7189341288
40367797,ONE IF BY LAND TWO IF BY SEA,MANHATTAN,17,BARROW STREET,10014,2122558649
40367829,MCDONALD'S,QUEENS,75-50,101 AVENUE,11416,7188451010
40367841,FIORELLOS,MANHATTAN,1900,BROADWAY,10023,2125955330
40367860,LB SPUMONI GARDENS,BROOKLYN,2725,86 STREET,11223,7184491230
40367870,AMORE PIZZERIA & RESTAURANT,QUEENS,30-27,STRATTON STREET,11354,7184450579
40367946,THE LARK'S NEST,BRONX,4280,KATONAH AVE,10470,3472028233
40368018,TERRACE CAFE,BRONX,2300,SOUTHERN BOULEVARD,10460,7182205069
40368021,AFRICAN TERRACE,BRONX,2300,SOUTHERN BOULEVARD,10460,7182207937
40368022,COOL ZONE,BRONX,2300,SOUTHERN BOULEVARD,10460,7182205069
40368025,BEAVER POND,BRONX,2300,SOUTHERN BOULEVARD,10460,7182207731
40368026,AFRICAN MARKET (BABOON CAFE),BRONX,2300,SOUTHERN BOULEVARD,10460,7187336858
40368034,ROADHOUSE RESTAURANT,STATEN ISLAND,1402,CLOVE ROAD,10301,7184470033
40368065,FORD FOUNDATION CAFETERIA,MANHATTAN,320,EAST 43 STREET,10017,2125734648
40368157,ELEPHANT & CASTLE,MANHATTAN,68,GREENWICH AVENUE,10011,2122431400
40368207,MILL BASIN KOSHER DELI,BROOKLYN,5823,AVENUE T,11234,7182414910
40368223,OYSTER BAR,MANHATTAN,,GRAND CENTRAL TERMINAL,10017,2124906650
40368271,CHERRY TAVERN,MANHATTAN,441,EAST    6 STREET,10009,2127771448
40368291,COLONNADE DINER,STATEN ISLAND,2001,HYLAN BOULEVARD,10306,7183512900
40368313,RED FLAME DINER,MANHATTAN,67,WEST   44 STREET,10036,2128693965
40368318,MAGGIES PLACE,MANHATTAN,21,EAST   47 STREET,10017,2127535757
40368338,BRADY'S BAR,MANHATTAN,1583,2 AVENUE,10028,2128616070
40368346,DA SILVANO RESTAURANT,MANHATTAN,260,6 AVENUE,10014,2129822343
40368370,BENJAMIN,MANHATTAN,603,2 AVENUE,10016,2128890750
40368374,JIMMY'S CORNER,MANHATTAN,140,WEST   44 STREET,10036,2122219510
40368526,FROST RESTAURANT,BROOKLYN,193,FROST STREET,11211,7183893347
40368552,SAMMY'S STEAKHOUSE,MANHATTAN,155157,CHRISTIE ST.,10002,2126730330
40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013,2122266060
40368577,DENNY'S PUB,BROOKLYN,106,BEVERLY ROAD,11218,7184352156
40368581,MARIES CRISIS CAFE,MANHATTAN,59,GROVE STREET,10014,2122439323
40368617,BOOTS & SADDLE BAR,MANHATTAN,76,CHRISTOPHER STREET,10014,2126331986
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228,7187454371
40368725,CAFE RIAZOR,MANHATTAN,245,WEST   16 STREET,10011,2127272132
40368752,RAOULS,MANHATTAN,180,PRINCE STREET,10012,2129663518
40368763,THE BROOK,MANHATTAN,111,EAST   54 STREET,10022,2127537020
40368801,MARBELLA RESTAURANT,QUEENS,22033,NORTHERN BOULEVARD,11361,7184230100
40368809,P.J.' S,QUEENS,18925,UNION TURNPIKE,11366,3472683989
40368897,HATSUHANA RESTAURANT,MANHATTAN,17,EAST   48 STREET,10017,2123553345
40368971,LA MANGEOIRE,MANHATTAN,1008,2 AVENUE,10022,2127597086
40369012,VALENTINO'S PIZZA,QUEENS,7147,KISSENA BOULEVARD,11367,7185916464
40369016,VIAND COFFEE SHOP,MANHATTAN,673,MADISON AVENUE,10065,2127516622
40369017,PALM TOO,MANHATTAN,840,2 AVENUE,10017,2126975198
40369051,STEVE'S COFFEE SHOP,QUEENS,403416,2ND ST,11358,7184456691
40369087,BLUE BAY RESTAURANT,BRONX,3533,JOHNSON AVENUE,10463,7188846476
40369097,NADA-SUSHI,MANHATTAN,135,EAST   50 STREET,10022,2128382537
40369111,THE HYTES BAR,BROOKLYN,1082,ST JOHNS PLACE,11213,7187789564
40369139,PERGOLA DES ARTISTES,MANHATTAN,252,WEST   46 STREET,10036,2123027500
40369158,JODY'S CLUB,STATEN ISLAND,372,FOREST AVENUE,10301,7187276338
40369165,REIF'S TAVERN,MANHATTAN,302,EAST 92 STREET,10128,2124260519
40369213,WHITESTONE LANES,QUEENS,3005,WHITESTONE EXPRESSWAY,11354,7183536300
40369262,JOHN'S PIZZERIA,QUEENS,8502,GRAND AVENUE,11373,7184577561
40369299,SEASHORE RESTAURANT,BRONX,591,CITY ISLAND AVE,10464,7188850300
40369400,WHITE HORSE TAVERN,MANHATTAN,25,BRIDGE STREET,10004,2126689046
40369418,CAFFE REGGIO,MANHATTAN,119,MAC DOUGAL STREET,10012,2124759557
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148
40369482,ARMANDO'S PIZZA,BROOKLYN,1366,PENNSYLVANIA AVENUE,11239,7186428253
40369495,DAN TEMPURA,MANHATTAN,2018,BROADWAY,10023,2128775255
40369521,KNICKERBOCKER BAR & GRILL,MANHATTAN,33,UNIVERSITY PLACE,10003,2122288490
40369535,MCDONALD'S,BROOKLYN,395,FLATBUSH AVENUE EXTENSION,11201,7185224988
40369580,EL POTE ESPANOL,MANHATTAN,718,2 AVENUE,10016,2128896680
40369597,CAFE CAPRI,BROOKLYN,427,GRAHAM AVENUE,11211,7183835744
40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE,10462,7188925200
40369608,THE RIVER CAFE,BROOKLYN,1,WATER STREET,11201,7185225200
40369619,MUDVILLE SALOON,MANHATTAN,126,CHAMBERS STREET,10007,2129640946
40369641,JOHNNY'S REEF RESTAURANT,BRONX,2,CITY ISLAND AVE,10464,7188852086
40369667,WHITE CASTLE,BROOKLYN,846,EMPIRE BOULEVARD,11213,7187563377
40369669,WHITE CASTLE,BRONX,2701,BOSTON POST ROAD,10467,7182314978
40369675,WHITE CASTLE,QUEENS,43-02,QUEENS BOULEVARD,11104,7187862475
40369676,WHITE CASTLE,BROOKLYN,4202,FT HAMILTON PARKWAY,11219,7184387550
40369716,FERDINANDO'S RESTAURANT,BROOKLYN,151,UNION STREET,11231,7188551545
40369724,MCDONALD'S,QUEENS,106-15,71 AVENUE,11375,7187938181
40369753,VIAND CAFE,MANHATTAN,1011,MADISON AVENUE,10075,2122498250
40369759,NECTAR COFFEE SHOP,MANHATTAN,1022,MADISON AVENUE,10075,2125354115
40369775,THE CUPPING ROOM,MANHATTAN,359,WEST BROADWAY,10013,2129252898
40369782,MCDONALD'S,BROOKLYN,701,UTICA AVENUE,11203,7187780023
40369810,PETE'S TAVERN,MANHATTAN,129,EAST   18 STREET,10003,2124737676
40369849,GINO'S PIZZERIA,QUEENS,61-32,SPRINGFIELD BOULEVARD,11364,7182251475
40369869,JIM BRADY'S RESTAURANT,MANHATTAN,75,MAIDEN LANE,10038,2124251300
40369878,VILLA MOSCONI RESTAURANT,MANHATTAN,69,MACDOUGAL STREET,10012,2126730390
40369895,P & K'S GRILL,BRONX,170,WEST  231 STREET,10463,3476207880
40369915,MCDONALD'S,BRONX,576581,BROADWAY,10463,7187964447
40369928,REME RESTAURANT,MANHATTAN,4021,BROADWAY,10032,2129235452
40369940,THE NEW AMITY RESTAURANT,MANHATTAN,1134,MADISON AVENUE,10028,2128613255
40369954,VOLARE RESTAURANT,MANHATTAN,147,WEST FOURTH STREET,10012,2127772849
40369958,SPARKS STEAK HOUSE,MANHATTAN,210,EAST   46 STREET,10017,2126874855
40369983,THE DART INN,QUEENS,83-18,PARSONS BOULEVARD,11432,7182911894
40370015,BAMONTE'S RESTAURANT,BROOKLYN,32,WITHERS STREET,11211,7183848831
40370091,PIZZA TOWN,QUEENS,1827,COLLEGE POINT BOULEVARD,11356,7189392187
40370146,MCDONALD'S,MANHATTAN,427,10 AVENUE,10001,2125647115
40370150,JOHN MULLIGAN'S,BRONX,4272,KATONAH AVENUE,10470,7186553201
40370167,BURGER KING,QUEENS,22210,NORTHERN BOULEVARD,11361,7182251695
40370168,EAR INN,MANHATTAN,326,SPRING STREET,10013,2122269060
40370238,BURGER KING,QUEENS,6815,NORTHERN BOULEVARD,11377,7187794875
